Model,SMAPE,RMSE,MAD,MAPE,Bias
Random_Forest,0.18901838766145918,138.86058374023966,89.16628799135789,20.32456723656066,13.331216672210353
Prophet,0.19610163896835328,143.94780132780576,93.21639654894524,19.727990096882607,25.54739014158842
Linear_Regression,0.19725789890328901,137.16397661242738,92.71614247640412,21.46658531644571,10.357342676452292
Triple_ES,0.1977763853059738,143.64336108042016,93.86454181179023,20.374320690472164,14.972507047360818
SARIMA,0.19934380056363069,142.47010426446985,94.19789945353205,21.013772275294542,6.041459025441208
XGBoost,0.19981045452945081,142.55274716570287,95.0681864420573,21.401738773316996,19.657383897569446
ARIMA,0.21087334439056482,142.08735680276845,98.67930999371781,22.857145602818434,4.649384582108892
